Index of pulse,on,sp,dn,dp,off,u,v,w,a,b,c,d,e,f,p1,p2
1,124,144,167,170,187,136,151,169,129,142,148,148,157,174,148,163
2,187,210,230,,254,201,217,241,194,208,214,214,222,244,214,226
3,254,275,295,309,368,334,,,327,340,,,289,,345,
4,368,407,430,434,453,399,413,433,392,405,411,411,419,438,411,432
5,453,473,489,,518,465,481,503,459,472,477,477,487,508,477,493
6,518,540,554,561,582,532,547,560,524,538,544,544,552,563,544,557
7,582,606,626,,650,597,612,636,590,604,610,610,618,640,610,621
8,650,671,700,,715,663,677,702,656,670,675,675,683,707,675,687
9,715,737,764,,777,728,744,,721,735,741,741,750,770,741,755
10,777,802,824,,845,794,809,830,787,800,806,806,815,835,806,819
11,845,868,892,,910,860,875,895,853,866,872,872,882,899,872,893
12,910,934,958,962,979,925,940,961,915,932,938,938,946,967,938,950
